                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.2435,                0.88429,                 1.2044,                0.33785,                0.55556,                0.32372,                 0.1602,                  2.201,                 2.4927,                 2.0413,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.2971,                0.93707,                 1.2278,                0.37871,                0.62963,                0.45955,                0.25141,                 1.9454,                 1.9196,                 1.8652,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.2104,                0.89802,                 1.1634,                0.46542,                0.32287,                0.29859,                0.18555,                  1.946,                 1.9867,                 1.9398,               0.001109,               0.001109,               0.001109
                     48,                  1.282,                 0.8872,                 1.2225,                0.74371,                0.53784,                0.59746,                0.35121,                 1.9479,                 1.4063,                 1.8084,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.2202,                0.83799,                 1.1825,                0.63614,                0.62963,                0.58958,                 0.3665,                 1.7427,                 1.4365,                 1.6405,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.1918,                0.82411,                 1.1779,                0.42797,                0.63747,                0.47801,                0.29568,                 1.7152,                 1.5776,                 1.6245,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.2526,                0.88291,                   1.21,                 0.3837,                0.55556,                0.33926,                0.19066,                 2.0058,                 1.7114,                 1.9685,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.1775,                 0.8047,                  1.174,                0.49063,                0.64237,                0.43265,                0.24323,                 1.8987,                 1.4663,                 1.8591,                0.00101,                0.00101,                0.00101
                     53,                 1.2054,                0.81455,                 1.2065,                0.54086,                0.69822,                0.58175,                  0.352,                 1.6131,                 1.3143,                 1.5277,              0.0009902,              0.0009902,              0.0009902
                     54,                  1.131,                0.81014,                 1.1111,                0.73558,                0.59259,                0.70118,                0.45346,                 1.3524,                 1.2728,                 1.2953,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.2174,                0.87042,                 1.2035,                0.88759,                0.62963,                0.77065,                 0.4526,                 1.4506,                 1.3121,                 1.3558,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.1827,                0.78082,                 1.1663,                0.77122,                0.66667,                0.75667,                0.42943,                 1.5913,                 1.2678,                  1.536,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.2202,                0.85022,                 1.1757,                0.79696,                0.62963,                0.69082,                0.41385,                 1.6281,                 1.1979,                 1.6179,               0.000911,               0.000911,               0.000911
                     58,                 1.2768,                0.94332,                 1.2449,                0.83568,                0.62963,                0.67326,                0.38273,                 1.7005,                  1.268,                 1.6322,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.1743,                0.78108,                 1.1478,                0.74941,                0.62963,                0.63529,                0.32684,                 1.7078,                 1.2969,                 1.5493,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.1578,                0.76564,                 1.1346,                0.57631,                0.60482,                0.60834,                0.33395,                 1.6628,                 1.3435,                 1.6099,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.1669,                0.76311,                 1.1554,                 0.4724,                0.59259,                0.50052,                0.30096,                 1.6503,                 1.4008,                 1.6336,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.1456,                0.79131,                 1.1565,                0.53226,                0.59013,                0.54287,                0.34273,                  1.602,                 1.3804,                 1.5938,               0.000812,               0.000812,               0.000812
                     63,                 1.0338,                0.71861,                 1.0909,                0.68558,                0.66667,                0.70694,                0.44362,                 1.4856,                 1.2339,                 1.4084,              0.0007922,              0.0007922,              0.0007922
